================================================================================
OPUS CODE REVIEW — NiftyQuant / Midas Algo Trading System
================================================================================
Date: 2026-02-13
Reviewer: Claude Opus 4.6
Test Suite: 51/51 passing
Current Phase: Phase 4 (Backtesting Engine) per PLAN.md
================================================================================

TABLE OF CONTENTS
─────────────────
  1. Executive Summary
  2. Severity Counts
  3. CRITICAL Findings (Fix Before Any Live/Paper Trading)
  4. HIGH Findings (Fix Before Phase 5)
  5. MEDIUM Findings
  6. LOW Findings
  7. Test Coverage Gaps
  8. PLAN.md Compliance Audit
  9. Architecture & Design Issues
 10. Recommended Fix Priority

================================================================================
1. EXECUTIVE SUMMARY
================================================================================

The codebase has solid foundations — clean module separation, a thoughtful
regime classification system, and a well-structured strategy/backtest
framework. However, it is NOT production-ready. There are critical issues
that would cause real financial losses if deployed:

  - The backtest engine has LOOKAHEAD BIAS (signals computed using the
    same bar's close that fills execute at)
  - The cost model is ~26% too optimistic (missing STT, GST, exchange
    charges, stamp duty, SEBI fees)
  - The circuit breaker EXISTS but is DEAD CODE — not wired into any
    execution path
  - Iron condor has NO exit conditions (50% profit, max loss, DTE=1)
  - Options positions are valued at UNDERLYING PRICE instead of option
    premium, making the entire equity curve meaningless for options strategies
  - NaN inputs to the regime classifier silently produce wrong classifications
  - No Monte Carlo / anti-overfitting checks exist (required by PLAN.md Phase 4)

Total findings: 11 CRITICAL, 38 HIGH, 62 MEDIUM, 45 LOW

================================================================================
2. SEVERITY COUNTS BY MODULE
================================================================================

Module                  CRIT  HIGH   MED   LOW   Total
────────────────────    ────  ────  ────  ────   ─────
Data Layer (src/data)      3     8    14    10      35
Regime (src/regime)        1     3     5     4      13
Signals (src/signals)      0     3    10     7      20
Strategies                 1     4     6     4      15
Backtest Engine            2     6     5     3      16
Execution/Paper            0     3     4     3      10
Risk/Circuit Breaker       2     4     3     2      11
Scripts                    1     3     5     4      13
Project Structure          1     4    10     8      23
────────────────────    ────  ────  ────  ────   ─────
TOTAL                     11    38    62    45     156

================================================================================
3. CRITICAL FINDINGS
================================================================================

C-01 | BACKTEST LOOKAHEAD BIAS
  [x] Report generation (JSON, HTML, CSV)
  [ ] MISSING: Full Indian cost model (5 of 7 components)
  [ ] MISSING: Sortino, Calmar, profit factor, win rate, avg holding
  [ ] MISSING: Monthly returns table
  [ ] MISSING: Charts in HTML report
  [ ] MISSING: get_exit_conditions() in engine loop
  [ ] MISSING: Circuit breaker in engine
  [ ] MISSING: Multi-strategy support
  [ ] MISSING: Walk-forward execution loop
  [ ] MISSING: Monte Carlo permutation test
  [ ] MISSING: Parameter sensitivity analysis
  [ ] MISSING: Cross-instrument validation
  [ ] MISSING: Minimum 50-trade enforcement

Phase 5 — Strategies (in progress):
  [x] Iron condor structure (entry logic)
  [x] Momentum EMA crossover
  [ ] MISSING: Iron condor exit conditions (50% profit, max loss, DTE=1)
  [ ] MISSING: Iron condor DTE-based entry filter
  [ ] MISSING: Momentum trailing stop
  [ ] MISSING: RSI mean reversion strategy (referenced in config)
  [ ] MISSING: Expiry day theta decay strategy

Phase 6 — Paper Trading:
  [x] Paper executor scaffold
  [x] run_paper.py scaffold
  [ ] MISSING: Position/portfolio tracking
  [ ] MISSING: Circuit breaker integration
  [ ] MISSING: Structured logging
  [ ] MISSING: Telegram alerts
  [ ] MISSING: Streamlit dashboard
  [ ] MISSING: Real strategy (NoOp placeholder)

================================================================================
9. ARCHITECTURE & DESIGN ISSUES
================================================================================

A-01 | SEPARATION OF CONCERNS VIOLATION
     | FreeFeed.get_fii_data mixes data sourcing with caching (constructs
     | file paths, calls load_or_fetch_fii_dii). DataStore should handle
     | caching; feed should only fetch.

A-02 | "SAME CODE PATH" PRINCIPLE NOT ACHIEVABLE
     | The backtest engine (src/backtest/engine.py) and paper executor
     | (src/execution/paper_executor.py) have completely different interfaces
     | and data flow. There is no shared execution abstraction that lets the
     | same strategy code run identically in both modes.

A-03 | FAIL-SAFE PRINCIPLE VIOLATED
     | - Classifier silently classifies with NaN inputs (should raise/UNKNOWN)
     | - Circuit breaker is dead code (should be mandatory)
     | - Paper executor fills without risk check (should require can_trade())
     | - Missing data produces empty results (should warn or block)

A-04 | CONFIG OVER CODE PRINCIPLE VIOLATED
     | Hardcoded values found in:
     |   - composite.py: ADX=20, VIX=14, PCR 0.8-1.2, VIX change=3.0
     |   - schemas.py: step=50 for ATM strike
     |   - signals/regime.py: ADX warm-up=28
     |   - calendar.py: holiday lists (should be config or fetched)

A-05 | LOG EVERYTHING PRINCIPLE VIOLATED
     | Paper executor: zero logging
     | Scripts: print() instead of structlog
     | Strategy signals: no structured logging of signal context
     | Circuit breaker trips: only trip_history list, no log emission

================================================================================
10. RECOMMENDED FIX PRIORITY
================================================================================

PRIORITY 1 — Fix before any testing with real data:
  C-01  Fix backtest lookahead bias
  C-02  Implement full Indian cost model
  C-06  Fix options equity valuation
  H-15  Fix multi-leg position tracking
  H-16  Add risk-free rate to Sharpe
  H-17  Fix ddof=1 for Sharpe

PRIORITY 2 — Fix before paper trading:
  C-03  Wire circuit breaker into execution paths
  C-04  Write circuit breaker tests
  C-05  Implement iron condor exit conditions
  C-07  Add NaN validation to classifier
  C-11  Add graceful shutdown to paper loop
  H-23  Add position tracking to paper executor
  H-32  Replace NoOpStrategy with real strategies

PRIORITY 3 — Fix before Phase 5 completion:
  C-10  Implement Monte Carlo / anti-overfitting checks
  H-14  Call get_exit_conditions() in engine
  H-18  Implement Sortino ratio
  H-19  Implement remaining core metrics
  H-20  Implement walk-forward execution loop
  H-21  Add DTE handling to iron condor

PRIORITY 4 — Fix before production:
  C-08  Add file locking to DataStore
  C-09  Make kiteconnect a lazy/optional import
  H-05  Fix NSE FII client cookie handling
  H-06  Make calendar auto-updating or warn on missing years
  H-07  Add feed tests (mocked)
  H-30  Add thread safety to circuit breaker
  H-29  Persist circuit breaker state

PRIORITY 5 — Quality improvements:
  All MEDIUM and LOW findings
  Test coverage expansion per Section 7
  Architecture alignment per Section 9

================================================================================
END OF REVIEW
================================================================================
